Drift ID,Site,Status,Deploy Date,Deploy Lat,Deploy Long,Recover Date,Recover Lat,Recover Long,Recorder,SR (kHz),Duty Cycle,HP Depth (m),Data Start Date,Data End Date
ADRIFT_045,ORE,Complete,3/16/2023,44.62,?124.62,3/21/2023,44.54,?124.58,ST4300HF,384,Continuous,100,3/16/2023,3/20/2023
ADRIFT_046,MBY,Complete,3/11/2023,35.62,?121.85,3/16/2023,35.26,?121.61,ST640,384,6 min per 6,100,3/11/2023,3/16/2023
ADRIFT_047,MBY,Complete,3/11/2023,35.63,?121.98,3/16/2023,35.26,?121.69,ST640,384,6 min per 6,100,3/11/2023,3/16/2023
ADRIFT_048,MBY,Complete,3/11/2023,35.63,?122.08,3/18/2023,35.35,?120.94,ST640,384,6 min per 6,100,3/11/2023,3/18/2023
ADRIFT_049,MBY,Complete,3/11/2023,35.63,?122.18,3/16/2023,35.41,?120.80,ST640,384,6 min per 6,100,3/11/2023,3/16/2023
ADRIFT_050,MBY,Complete,3/11/2023,35.54,?122.18,3/16/2023,35.24,?121.91,ST640,384,6 min per 6,100,3/11/2023,3/16/2023
ADRIFT_051,MBY,Complete,3/11/2023,35.55,?122.08,3/16/2023,35.24,?121.91,ST640,384,6 min per 6,100,3/11/2023,3/16/2023
ADRIFT_052,MBY,Complete,3/11/2023,35.55,?121.98,3/17/2023,35.09,?121.74,ST640,384,6 min per 6,100,3/11/2023,3/16/2023
ADRIFT_053,MBY,Complete,3/11/2023,35.54,?121.87,3/17/2023,34.96,?121.70,ST640,384,6 min per 6,100,3/11/2023,3/16/2023
ADRIFT_054,HUM,Complete,3/16/2023,40.84,?124.54,3/18/2023,40.8,?124.53,ST4300HF,384,Continuous,100,3/16/2023,3/18/2023
ADRIFT_055,HUM,Complete,3/16/2023,40.84,?124.63,3/18/2023,40.88,?124.45,ST4300STD,288,Continuous,100,3/16/2023,3/18/2023
ADRIFT_056,HUM,Unusable,3/16/2023,40.84,?124.67,3/18/2023,40.94,?124.51,ST4300HF,384,Continuous,100,–,–
ADRIFT_057,HUM,Complete,3/16/2023,40.85,?124.71,3/18/2023,41.09,?124.51,ST4300HF,384,Continuous,100,3/16/2023,3/18/2023
ADRIFT_058,ORE,Complete,4/13/2023,43.81,?124.61,4/16/2023,43.27,?124.67,ST4300HF,384,Continuous,100,4/13/2023,4/16/2023
ADRIFT_059,ORE,Complete,4/13/2023,43.89,?124.73,4/16/2023,43.69,?124.50,ST4300HF,384,Continuous,100,4/13/2023,4/16/2023
ADRIFT_060,ORE,Complete,4/13/2023,43.81,?124.74,4/16/2023,43.35,?124.56,ST4300HF,384,Continuous,100,4/13/2023,4/16/2023
ADRIFT_061,ORE,Complete,4/13/2023,43.88,?124.62,4/16/2023,43.39,?124.48,ST4300HF,384,Continuous,100,4/13/2023,4/16/2023
ADRIFT_062,ORE,Complete,4/26/2023,45.08,?124.39,4/29/2023,45.16,?124.59,ST4300HF,384,Continuous,100,4/26/2023,4/29/2023
ADRIFT_063,ORE,Complete,4/26/2023,45.16,?124.40,4/29/2023,45.38,?124.57,ST4300HF,384,Continuous,100,4/26/2023,4/29/2023
ADRIFT_064,ORE,Complete,4/26/2023,45.24,?124.40,4/29/2023,45.41,?124.49,ST4300HF,384,Continuous,100,4/26/2023,4/29/2023
ADRIFT_065,ORE,Complete,4/26/2023,45.32,?124.40,4/29/2023,45.2,?124.28,ST4300HF,384,Continuous,100,4/26/2023,4/29/2023
ADRIFT_066,SFB,Unusable,5/8/2023,37.72,?123.23,5/13/2023,37.57,?123.54,ST640,384,6 min per 6,100,–,–
ADRIFT_067,SFB,Complete,5/8/2023,37.8,?123.38,5/12/2023,37.43,?123.47,ST640,384,6 min per 6,100,5/8/2023,5/12/2023
ADRIFT_068,HUM,Complete,5/7/2023,40.83,?124.54,5/9/2023,41.01,?124.57,ST4300HF,384,Continuous,100,5/7/2023,5/9/2023
ADRIFT_069,HUM,Unusable,5/7/2023,40.83,?124.59,5/9/2023,41.16,?124.42,ST4300HF,384,Continuous,100,–,–
ADRIFT_070,HUM,Complete,5/7/2023,40.83,?124.64,5/9/2023,40.8,?125.03,ST4300HF,384,Continuous,100,5/7/2023,5/9/2023
ADRIFT_071,HUM,Complete,5/7/2023,40.83,?124.70,5/9/2023,40.77,?125.10,ST4300STD,288,Continuous,100,5/7/2023,5/9/2023
ADRIFT_072,ORE,Complete,5/17/2023,44.61,?124.75,5/26/2023,44.21,?124.82,ST4300HF,384,Continuous,100,5/17/2023,5/23/2023
ADRIFT_073,ORE,Complete,5/17/2023,44.64,?124.78,5/26/2023,43.58,?124.97,ST4300HF,384,Continuous,100,5/17/2023,5/21/2023
ADRIFT_074,ORE,Complete,5/17/2023,44.61,?124.81,5/26/2023,43.61,?125.02,ST4300HF,384,Continuous,100,5/17/2023,5/21/2023
ADRIFT_075,ORE,Complete,5/17/2023,44.58,?124.78,5/26/2023,44.23,?124.84,ST4300HF,384,Continuous,100,5/17/2023,5/21/2023
ADRIFT_076,ORE,Unusable,7/17/2023,44.65,?124.65,7/21/2023,44.46,?124.94,ST4300HF,384,6 min per 6,100,–,–
ADRIFT_077,ORE,Complete,7/17/2023,44.75,?124.75,7/21/2023,44.43,?124.81,ST4300HF,384,6 min per 6,100,7/17/2023,7/21/2023
ADRIFT_078,ORE,Complete,7/17/2023,44.74,?124.68,7/21/2023,44.45,?124.85,ST4300HF,384,6 min per 6,100,7/17/2023,7/21/2023
ADRIFT_079,MBY,Complete,7/11/2023,35.63,?121.64,7/16/2023,35.4,?121.46,ST640,384,6 min per 6,100,7/11/2023,7/16/2023
ADRIFT_080,MBY,Complete,7/11/2023,35.63,?121.75,7/16/2023,35.88,?121.76,ST640,384,6 min per 6,100,7/11/2023,7/16/2023
ADRIFT_081,MBY,Complete,7/11/2023,35.54,?121.75,7/16/2023,35.66,?121.53,ST640,384,6 min per 6,100,7/11/2023,7/16/2023
ADRIFT_082,MBY,Complete,7/11/2023,35.54,?121.63,7/15/2023,35.63,?121.75,ST640,384,6 min per 6,100,7/11/2023,7/15/2023
ADRIFT_083,MBY,Complete,7/11/2023,35.54,?121.48,7/16/2023,35.64,?121.42,ST640,384,6 min per 6,100,7/11/2023,7/16/2023
ADRIFT_084,MBY,Failed,7/11/2023,35.45,?121.58,–,–,–,ST640,384,6 min per 6,100,–,–
ADRIFT_085,ORE,Complete,8/4/2023,45.38,?124.41,8/12/2023,44.95,?124.45,ST4300HF,384,6 min per 6,100,8/4/2023,8/11/2023
ADRIFT_086,ORE,Complete,8/4/2023,45.32,?124.41,8/12/2023,44.84,?124.47,ST4300HF,384,6 min per 6,100,8/4/2023,8/8/2023
ADRIFT_087,ORE,Complete,8/4/2023,45.34,?124.47,8/12/2023,44.94,?124.54,ST4300HF,384,6 min per 6,100,8/4/2023,8/8/2023
ADRIFT_088,HUM,Complete,8/25/2023,41.83,?124.64,8/28/2023,41.14,?124.42,ST4300HF,384,6 min per 6,100,8/25/2023,8/28/2023
ADRIFT_089,HUM,Complete,8/25/2023,41.83,?124.69,8/28/2023,41.14,?124.42,ST4300HF,384,6 min per 6,100,8/25/2023,8/26/2023
ADRIFT_090,HUM,Complete,8/25/2023,41.83,?124.54,8/28/2023,40.93,?124.43,ST4300HF,384,6 min per 6,100,8/25/2023,8/26/2023
ADRIFT_091,HUM,Complete,8/25/2023,41.83,?124.59,8/28/2023,40.77,?124.53,ST4300STD,288,6 min per 6,100,8/25/2023,8/28/2023
ADRIFT_092,SFB,Complete,9/17/2023,37.72,?123.23,9/22/2023,37.71,?123.67,ST640,384,6 min per 6,100,9/17/2023,9/22/2023
ADRIFT_097,HUM,Complete,10/5/2023,40.83,?124.55,10/6/2023,40.93,?124.89,ST4300HF,384,6 min per 6,100,10/5/2023,10/6/2023
ADRIFT_098,HUM,Complete,10/5/2023,40.84,?124.60,10/6/2023,40.96,?124.94,ST4300HF,384,6 min per 6,100,10/5/2023,10/6/2023
ADRIFT_099,HUM,Complete,10/5/2023,40.84,?124.65,10/6/2023,40.97,?124.99,ST4300HF,384,6 min per 6,100,10/5/2023,10/6/2023
ADRIFT_100,HUM,Complete,10/5/2023,40.84,?124.70,10/7/2023,40.98,?125.03,ST4300STD,288,6 min per 6,100,10/5/2023,10/7/2023
ADRIFT_101,MBY,Complete,11/6/2023,35.63,?121.64,11/10/2023,35.37,?121.71,ST640,384,6 min per 6,100,11/6/2023,11/10/2023
ADRIFT_102,MBY,Complete,11/6/2023,35.63,?121.75,11/10/2023,35.81,?121.02,ST640,384,6 min per 6,100,11/6/2023,11/10/2023
ADRIFT_103,MBY,Complete,11/6/2023,35.63,?121.87,11/10/2023,35.81,?121.06,ST640,384,6 min per 6,100,11/6/2023,11/10/2023
ADRIFT_104,MBY,Complete,11/6/2023,35.63,?121.95,11/10/2023,35.54,?122.01,ST640,384,6 min per 6,100,11/6/2023,11/10/2023
ADRIFT_105,MBY,Complete,11/6/2023,35.54,?121.95,11/10/2023,35.56,?121.85,ST640,384,6 min per 6,100,11/6/2023,11/10/2023
ADRIFT_106,MBY,Complete,11/6/2023,35.54,?121.85,11/10/2023,35.54,?121.92,ST640,384,6 min per ca,100,11/6/2023,11/10/2023
ADRIFT_107,MBY,Complete,11/6/2023,35.54,?121.75,11/10/2023,35.73,?122.03,ST640,384,6 min per 6,100,11/6/2023,11/10/2023
ADRIFT_108,MBY,Complete,11/6/2023,35.54,?121.63,11/10/2023,35.65,?121.93,ST640,384,6 min per 6,100,11/6/2023,11/10/2023
