Project,DeploymentID,Site,Cruise,Status,Platform,Region,Type,Instrument_ID,GPS_Tracker,GPS_ID,GPS_Timing,Depth_Sensor,Deployment_Latitude,Deployment_Longitude,Deployment_Date,"Deployment_Depth_m
",Deploy_Vessel,Recovery_Date,Recovery_Latitude,Recovery_Longitude,Retrieve_Vessel,Array_name,Number_of_Sensors,ChannelNumber_1,SensorNumber_1,ChannelNumber_2,SensorNumber_2,ChannelNumber_3,SensorNumber_3,PreAmp_ID,Data_Start,Data_End,RecordingDuration_m,RecordingInterval_m,SampleRate_kHz,Quality_Analyst,Quality_Category,Quality_LowFreq,Quality_HighFreq,Data_ID,High Pass Filter,Detector,Threshold,Integration Time,Blanking Time,Store Snippets,Snippet pre-trig,Snippet post-trig,Pressure,Acceleration,Temperature,Log GPS,Disable Calibration Tones,Weight Retrieval System,Acoustic Release Number,Enable Code,Anode Length,Number of SUD files,Known Takes,SanctuaryPermit,Personnel,Notes
ADRIFT,19,MBY,CCC,Complete,drift,WCoastUSA,ST640,6673,SPOT and solar gps,M/N / S0-638,30/60/30,16549,35.798267,-122.190733,6/21/2022 16:24:00,100,R/V Fulmar,6/25/2022 22:14:00,35.977217,-122.047467,R/V Fulmar,L02_9299,2,1,856157,2,856169,NA,NA,NA,6/21/2022 16:15:00,6/25/2022 22:14:42,Continuous,NA,384,Cory Hom-Weaver,compromised,300,192000,ADRIFT_019,NA,No,NA,NA,NA,NA,NA,NA,No,10,,No,Yes,NA,NA,NA,NA,,NA,NA,"Shannon Rankin, Cory Hom-Weaver, Anne Simonis",CCC Pilot Project. LF recordings are noisy but probably usable for some species 
ADRIFT,20,MBY,CCC,Complete,drift,WCoastUSA,ST640,6666,Solar,SO-135,30,16647,35.8005,-122.088867,6/21/2022 16:51:00,100,R/V Fulmar,6/25/2022 18:06:00,35.612433,-121.9225,R/V Fulmar,A02_9299,2,1,856156,2,856167,NA,NA,NA,6/21/2022 16:45:00,6/25/2022 17:52:13,Continuous,NA,384,Cory Hom-Weaver,compromised,400,192000,ADRIFT_020,NA,No,NA,NA,NA,NA,NA,NA,No,10,,No,Yes,NA,NA,NA,NA,,NA,NA,"Shannon Rankin, Cory Hom-Weaver, Anne Simonis",CCC Pilot Project. Rocker stopper moved a lot. Noisy in LF and towards the end of the drift. 
ADRIFT,21,MBY,CCC,Complete,drift,WCoastUSA,ST640,6670,Solar,SO-798,30,16597,35.80185,-121.984017,6/21/2022 17:15:00,100,R/V Fulmar,6/25/2022 18:30:00,35.623483,-121.823783,R/V Fulmar,F02_9299,2,1,856164,2,856175,NA,NA,NA,6/21/2022 17:07:29,6/25/2022 18:37:12,Continuous,NA,384,Cory Hom-Weaver,compromised,800,192000,ADRIFT_021,NA,No,NA,NA,NA,NA,NA,NA,No,10,,No,Yes,NA,NA,NA,NA,,NA,NA,"Shannon Rankin, Cory Hom-Weaver, Anne Simonis",CCC Pilot Project. Rocker stopper was lose and banging around through the whole deployment. Noise is mostly in the lower frequencies 
ADRIFT,22,MBY,CCC,Complete,drift,WCoastUSA,ST640,6667,Solar,SO-359,30,16595,35.80385,-121.877383,6/21/2022 17:46:00,100,R/V Fulmar,6/25/2022 16:51:00,35.49745,-122.023217,R/V Fulmar,H02_9299,2,1,856159,2,856177,NA,NA,NA,6/21/2022 17:37:30,6/25/2022 16:52:16,Continuous,NA,384,Cory Hom-Weaver,compromised,1500,192000,ADRIFT_022,NA,No,NA,NA,NA,NA,NA,NA,No,10,,No,Yes,NA,NA,NA,NA,,NA,NA,"Shannon Rankin, Cory Hom-Weaver, Anne Simonis",CCC Pilot Project. Rocker stopper moved a lot. Lots of noise in the lower frequencies but broadband noise in the LTSA goes up pretty high (100kHz or so )
ADRIFT,23,MBY,CCC,Complete,drift,WCoastUSA,ST640,6665,SPOT and solar gps,P/Q/SO-506,30/60/30,16408,35.713917,-122.1861,6/21/2022 19:11:00,100,R/V Fulmar,6/25/2022 21:26:00,35.843,-121.88,R/V Fulmar,X01_9299,2,1,856140,2,856150,NA,NA,NA,6/21/2022 18:52:29,6/25/2022 21:29:41,Continuous,NA,384,Cory Hom-Weaver,compromised,800,192000,ADRIFT_023,NA,No,NA,NA,NA,NA,NA,NA,No,10,,No,Yes,NA,NA,NA,NA,,NA,NA,"Shannon Rankin, Cory Hom-Weaver, Anne Simonis",CCC Pilot Project. LF recordings are noisy. Something hitting HP
ADRIFT,24,MBY,CCC,Complete,drift,WCoastUSA,ST640,6664,Solar,SO-919,30,16536,35.71575,-122.085283,6/21/2022 19:36:00,100,R/V Fulmar,6/25/2022 20:13:00,35.7206,-122.108667,R/V Fulmar,E02_9299,2,1,856163,2,856171,NA,NA,NA,6/21/2022 19:29:59,6/25/2022 20:14:42,Continuous,NA,384,Cory Hom-Weaver,good,65,192000,ADRIFT_024,NA,No,NA,NA,NA,NA,NA,NA,No,10,,No,Yes,NA,NA,NA,NA,,NA,NA,"Shannon Rankin, Cory Hom-Weaver, Anne Simonis",CCC Pilot Project
ADRIFT,25,MBY,CCC,Complete,drift,WCoastUSA,ST640,6672,Solar,SO-082,30,16656,35.715583,-121.981633,6/21/2022 20:01:00,100,R/V Fulmar,6/25/2022 17:21:00,35.541283,-122.025417,R/V Fulmar,Z01_9299,2,1,856135,2,856148,NA,NA,NA,6/21/2022 19:44:59,6/25/2022 17:29:42,Continuous,NA,384,Cory Hom-Weaver,good,10,192000,ADRIFT_025,NA,No,NA,NA,NA,NA,NA,NA,No,10,,No,Yes,NA,NA,NA,NA,,NA,NA,"Shannon Rankin, Cory Hom-Weaver, Anne Simonis",CCC Pilot Project
ADRIFT,26,MBY,CCC,Complete,drift,WCoastUSA,ST640,6663,SPOT and solar gps,AE/FB/ SO-692,30/60/30,16658,35.715583,-121.876783,6/21/2022 20:36:00,100,R/V Fulmar,6/25/2022 20:47:00,35.753433,-122.014633,R/V Fulmar,B02_9299,2,1,856165,2,856173,NA,NA,NA,6/21/2022 20:22:29,6/25/2022 20:44:44,Continuous,NA,384,Kourtney Burger,compromised,20000,192000,ADRIFT_026,NA,No,NA,NA,NA,NA,NA,NA,No,10,,No,Yes,NA,NA,NA,NA,,NA,NA,"Shannon Rankin, Cory Hom-Weaver, Anne Simonis","CCC Pilot Project. Rocker stopper moved and caused a ton of noise. Not sure if the recordings are usable in the higher frequencies. Won't work for baleen whales. Included in package for NCEI, visible dolphins in upper frequencies"
ADRIFT,27,SFB,ACCESS,Complete,drift,WCoastUSA,ST640,6671,SPOT and solar gps,K/AF/SO-506 ,30/60,16528,37.90122,-123.4428,7/26/2022 18:27:00,100,R/V Fulmar,7/30/2022 18:38:00,37.68333,-123.7762,R/V Fulmar,N01_92NA96,2,1,856117,2,856118,NA,NA,NA,7/26/2022 18:37:12,7/30/2022 18:14:25,Continuous,NA,384,Cory Hom-Weaver,good,50,192000,ADRIFT_027,NA,No,NA,NA,NA,NA,NA,NA,No,10,NA,No,Yes,NA,NA,NA,NA,,NA,CBNMS,"Jan Roletto, Dani Lipske",
ADRIFT,28,SFB,ACCESS,Complete,drift,WCoastUSA,ST640,6668,SPOT and solar gps,G/F/SO-082,30/60,15801,37.88748,-123.3764,7/26/2022 17:05:00,100,R/V Fulmar,7/30/2022 18:24:00,37.71733,-123.7965,R/V Fulmar,K02_9299,2,1,856154,2,856170,NA,NA,NA,7/26/2022 17:29:47,7/30/2022 20:20:32,Continuous,NA,384,Cory Hom-Weaver,good,30,192000,ADRIFT_028,NA,No,NA,NA,NA,NA,NA,NA,No,10,NA,No,Yes,NA,NA,NA,NA,,NA,GFNMS / CBNMS,"Jan Roletto, Dani Lipske",
ADRIFT,29,HUM,Scrimshaw,Sunk,drift,WCoastUSA,ST4300HF,5989,SPOT,E/AH,30/60,15817,41.13138,-124.4402,7/28/2022 16:10:00,100,F/V Scrimshaw,8/1/2022 22:47:00,40.94754,-124.3201,F/V Scrimshaw,L01_9296,2,1,856049,2,856068,NA,NA,NA,NA,NA,Continuous,NA,384,Kourtney Burger,unusable,NA,NA,ADRIFT_029,NA,No,NA,NA,NA,NA,NA,NA,No,10,10,No,Yes,NA,NA,NA,NA,,NA,NA,Blair Winnacott,2 humpbacks and 1 female elephant seal spotted further inshore. Polytron line was cut and acoustic array was sunk.
ADRIFT,30,HUM,Scrimshaw,Complete,drift,WCoastUSA,ST4300HF,5987,Solar,Solar,30,15518,41.12946,-124.54122,7/28/2022 16:25:00,100,F/V Scrimshaw,8/1/2022 21:32:00,41.04706,-125.02628,F/V Scrimshaw,G02_9299,2,1,856161,2,856176,NA,NA,NA,7/28/2022 18:59:58,8/1/2022 11:29:40,Continuous,NA,384,Cory Hom-Weaver,good,50,192000,ADRIFT_030,NA,No,NA,NA,NA,NA,NA,NA,No,10,10,No,Yes,NA,NA,NA,NA,,NA,NA,Blair Winnacott,Solar GPS used and worked well.
ADRIFT,31,HUM,Scrimshaw,Complete,drift,WCoastUSA,ST4300HF,5984,SPOT,J/L,30/60,16396,41.13133,-124.6411,7/28/2022 16:45:00,100,F/V Scrimshaw,8/1/2022 21:30:00,41.08246,-125.01656,F/V Scrimshaw,C02_9299,2,1,856155,2,856166,NA,NA,NA,7/28/2022 18:59:58,8/1/2022 8:52:13,Continuous,NA,384,Cory Hom-Weaver,good,50,192000,ADRIFT_031,NA,No,NA,NA,NA,NA,NA,NA,No,10,10,No,Yes,NA,NA,NA,NA,,NA,NA,Blair Winnacott,
ADRIFT,32,HUM,THL,Complete,drift,WCoastUSA,ST4300HF,5987,Solar,SO-001,30,16396,41.05022,-124.5336,9/13/2022 5:24:00,100,R/V Coral Sea,9/15/2022 18:07:00,41.35018,-124.54007,F/V Scrimshaw,C02_9299,2,1,856155,2,856166,NA,NA,NA,9/13/2022 6:59:57,9/15/2022 18:14:45,Continuous,NA,384,Cory Hom-Weaver,good,30,192000,ADRIFT_032,NA,No,NA,NA,NA,NA,NA,NA,No,10,10,No,Yes,NA,NA,NA,NA,,NA,NA,Blair Winnacott,earthquake! 
ADRIFT,33,HUM,THL,Complete,drift,WCoastUSA,ST4300HF,5984,Solar,SO-798,30,15865,41.05015,-124.4334,9/13/2022 4:26:00,100,R/V Coral Sea,9/15/2022 17:35:00,41.45931,-124.44917,F/V Scrimshaw,D02_9299,2,1,856162,2,856168,NA,NA,NA,9/13/2022 4:44:57,9/15/2022 17:29:45,Continuous,NA,384,Cory Hom-Weaver,compromised,250,192000,ADRIFT_033,NA,No,NA,NA,NA,NA,NA,NA,No,10,10,No,Yes,NA,NA,NA,NA,,NA,NA,Blair Winnacott,"persistent knocking (<2kHz), Tons of sperm whales"
ADRIFT,34,SFB,ACCESS,Complete,drift,WCoastUSA,ST640,6668,SPOT and solar gps,F/G/SO-082,30,16528,38.047517,-123.561683,9/27/2022 17:43:00,100,R/V Fulmar,10/1/2022 16:45:00,38.33218,-123.45027,R/V Fulmar,K02_9299,2,1,856154,2,856170,NA,NA,NA,9/27/2022 18:37:14,10/1/2022 15:59:35,Continuous,NA,384,Cory Hom-Weaver,good,50,192000,ADRIFT_034,NA,No,NA,NA,NA,NA,NA,NA,No,10,NA,No,Yes,NA,NA,NA,NA,,NA,GFNMS / CBNMS,"Jan Roletto, Dani Lipske",Tons of singing humpbacks
ADRIFT,35,SFB,ACCESS,Unusable,drift,WCoastUSA,ST640,6671,SPOT and solar gps,K/AF/SO-506,30,15801,38.130383,-123.530033,9/26/2022 17:55:00,100,R/V Fulmar,10/1/2022 18:00:00,38.04729,-123.41403,R/V Fulmar,N01_92NA96,2,1,856117,2,856118,NA,NA,NA,NA,NA,Continuous,NA,384,Kourtney Burger,unusable,NA,NA,ADRIFT_035,NA,No,NA,NA,NA,NA,NA,NA,No,10,NA,No,Yes,NA,NA,NA,NA,,NA,CBNMS,"Jan Roletto, Dani Lipske",appears to have grounded on Cordell bank around 23:30 September 30; recorder never turned on
ADRIFT,36,HUM,Scrimshaw,Complete,drift,WCoastUSA,ST4300HF,5984,Solar,SO-638,30,15865,41.05025,-124.43292,11/16/2022 17:00:00,100,F/V Scrimshaw,11/21/2022 17:49:00,40.93095,-124.34114,F/V Scrimshaw,C02_9299,2,1,856155,2,856166,NA,NA,NA,11/16/2022 19:14:57,11/20/2022 7:37:12,Continuous,NA,384,Cory Hom-Weaver,good,50,192000,ADRIFT_036,NA,No,NA,NA,NA,NA,NA,NA,No,,,No,Yes,NA,NA,NA,NA,,NA,NA,"Roxanne Robertson, Eric Bjorkstedt",
ADRIFT,37,HUM,Scrimshaw,Complete,drift,WCoastUSA,ST4300STD,8025,Solar,SO-798,30,16396,41.05077,-124.5109,11/16/2022 17:00:00,100,F/V Scrimshaw,11/21/2022 18:18:00,41.01446,-124.40581,F/V Scrimshaw,D02_9299,2,1,856162,2,856168,NA,NA,NA,11/16/2022 18:59:58,11/21/2022 10:59:46,Continuous,NA,288,Cory Hom-Weaver,good,30,192000,ADRIFT_037,NA,No,NA,NA,NA,NA,NA,NA,No,,,No,Yes,NA,NA,NA,NA,,NA,NA,"Roxanne Robertson, Eric Bjorkstedt",Tons of singing humpbacks
ADRIFT,38,HUM,Scrimshaw,Complete,drift,WCoastUSA,ST4300HF,5987,Solar,SO-001,30,15518,41.05112,-124.58429,11/16/2022 17:00:00,100,F/V Scrimshaw,11/21/2022 18:08:00,40.99065,-124.41114,F/V Scrimshaw,G02_9299,2,1,856161,2,856176,NA,NA,NA,11/16/2022 19:14:57,11/20/2022 3:29:42,Continuous,NA,384,Cory Hom-Weaver,good,50,192000,ADRIFT_038,NA,No,NA,NA,NA,NA,NA,NA,No,,,No,Yes,NA,NA,NA,NA,,NA,NA,"Roxanne Robertson, Eric Bjorkstedt",
ADRIFT,39,HUM,Scrimshaw,Complete,drift,WCoastUSA,ST4300HF,5984,Solar,SO-638,30,15865,40.8114,-124.4739,12/13/2022 21:19:00,100,F/V Scrimshaw,12/16/2022 20:27:00,40.7025,-124.54954,F/V Scrimshaw,C02_9299,2,1,856155,2,856166,NA,NA,NA,12/13/2022 21:29:57,12/16/2022 20:22:14,Continuous,NA,384,Cory Hom-Weaver,compromised,1000,192000,ADRIFT_039,NA,No,NA,NA,NA,NA,NA,NA,No,,,No,Yes,NA,NA,NA,NA,,NA,NA,Eric Bjorkstedt,Noise under 1kHz throughout most of the deployment
ADRIFT,40,HUM,Scrimshaw,Complete,drift,WCoastUSA,ST4300STD,8025,Solar,SO-798,30,16396,40.8114,-124.5438,12/13/2022 21:35:00,100,F/V Scrimshaw,12/16/2022 21:14:00,40.82093,-124.73885,F/V Scrimshaw,D02_9299,2,1,856162,2,856168,NA,NA,NA,12/13/2022 21:29:57,12/16/2022 21:29:50,Continuous,NA,288,Cory Hom-Weaver,good,250,192000,ADRIFT_040,NA,No,NA,NA,NA,NA,NA,NA,No,,,No,Yes,NA,NA,NA,NA,,NA,NA,Eric Bjorkstedt,Lots of dolphins and knocking in LF
ADRIFT,41,HUM,Scrimshaw,Complete,drift,WCoastUSA,ST4300HF,5987,Solar,SO-001,30,15518,40.8072,-124.609,12/13/2022 21:48:00,100,F/V Scrimshaw,12/16/2022 22:21:00,41.04001,-124.42999,F/V Scrimshaw,G02_9299,2,1,856161,2,856176,NA,NA,NA,12/13/2022 21:52:27,12/16/2022 22:37:14,Continuous,NA,384,Cory Hom-Weaver,compromised,250,192000,ADRIFT_041,NA,No,NA,NA,NA,NA,NA,NA,No,,,No,Yes,NA,NA,NA,NA,,NA,NA,Eric Bjorkstedt,
ADRIFT,42,ORE,ADRIFT,Complete,drift,WCoastUSA,ST4300HF,5296,Solar,SO-533,NA,17434,44.60481667,-124.7533,3/16/2023 19:30:00,100,R/V Elakha,3/21/2023 0:45:00,44.60491,-124.69933,R/V Pacific Storm,E02_9299,2,1,856163,2,856171,NA,NA,NA,3/16/2023 19:29:57,3/21/2023 0:44:35,Continuous,NA,384,Cory Hom-Weaver,compromised,250,192000,ADRIFT_042,NA,No,NA,NA,NA,NA,NA,NA,No,10,NA,,Yes,NA,NA,NA,NA,,NA,NA,"Craig Hayslip, Angela Szesciorka",ORE March deployments
